hora,precio,charge_mwh,discharge_mwh,soc_mwh,soc_pct,ingreso_hora,tipo_accion,fecha
0,330.1027914388164,0.0,0.0,2.0,50.0,0.0,reposo,2026-05-29
1,327.9572299787384,0.0,0.0,2.0,50.0,0.0,reposo,2026-05-29
2,322.91221470266794,0.0,0.0,2.0,50.0,0.0,reposo,2026-05-29
3,321.0095574365296,1.0,0.0,2.9,72.5,-324.01,carga,2026-05-29
4,328.9623389572732,0.0,0.0,2.9,72.5,0.0,reposo,2026-05-29
5,355.9687192042249,0.0,0.0,2.9,72.5,0.0,reposo,2026-05-29
6,353.3492289160201,0.0,0.0,2.9,72.5,0.0,reposo,2026-05-29
7,347.4727028110559,0.0,0.0,2.9,72.5,0.0,reposo,2026-05-29
8,330.64048002403575,0.0,0.0,2.9,72.5,0.0,reposo,2026-05-29
9,320.67256385152643,1.0,0.0,3.8,95.0,-323.67,carga,2026-05-29
10,330.5538372895275,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
11,345.50170163490844,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
12,346.3816197198142,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
13,361.20345970780636,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
14,382.96085629721466,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
15,395.93453677314574,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
16,420.7292151357748,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
17,437.3443646821279,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-29
18,556.5764817913844,0.0,1.0,2.8,70.0,553.58,descarga,2026-05-29
19,648.6780035228603,0.0,1.0,1.8,45.0,645.68,descarga,2026-05-29
20,507.7098277368509,0.0,1.0,0.8,20.0,504.71,descarga,2026-05-29
21,451.4078669901191,0.0,0.4,0.4,10.0,179.36,descarga,2026-05-29
22,414.22181870897276,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-29
23,384.70779435374965,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-29
0,387.68645157063446,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
1,382.6202009859996,0.0,-0.0,0.4,10.0,-0.0,reposo,2026-05-30
2,379.34407501231186,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
3,367.75249943629507,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
4,373.03529077501355,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
5,377.2314630693896,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
6,354.84016107954324,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
7,341.86293685104283,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
8,318.3850650823076,1.0,0.0,1.3,32.5,-321.39,carga,2026-05-30
9,315.4931217166438,1.0,0.0,2.2,55.0,-318.49,carga,2026-05-30
10,321.04069386874204,1.0,0.0,3.1,77.5,-324.04,carga,2026-05-30
11,332.7401128815719,0.7778,0.0,3.8,95.0,-261.13,carga,2026-05-30
12,334.5495877805362,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-30
13,342.1080957003019,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-30
14,364.8811939984709,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-30
15,382.7892322057046,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-30
16,406.8657363148008,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-30
17,439.893550619929,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-30
18,491.73819325412,0.0,1.0,2.8,70.0,488.74,descarga,2026-05-30
19,512.992899816911,0.0,1.0,1.8,45.0,509.99,descarga,2026-05-30
20,479.88906366679834,0.0,1.0,0.8,20.0,476.89,descarga,2026-05-30
21,470.4874036161015,0.0,0.4,0.4,10.0,186.99,descarga,2026-05-30
22,445.8119199699224,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
23,425.0867749203941,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-30
0,345.28411532805666,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
1,340.77197453990436,0.0,-0.0,0.4,10.0,-0.0,reposo,2026-05-31
2,337.8541674977825,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
3,327.53039450595264,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
4,332.23539238880954,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
5,335.9726177485246,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
6,316.0303142006823,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
7,304.47244477037754,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
8,283.56241257654847,1.0,0.0,1.3,32.5,-286.56,carga,2026-05-31
9,280.98676903123845,1.0,0.0,2.2,55.0,-283.99,carga,2026-05-31
10,285.9275879197902,1.0,0.0,3.1,77.5,-288.93,carga,2026-05-31
11,296.3474092143737,0.7778,0.0,3.8,95.0,-232.83,carga,2026-05-31
12,297.958976854063,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-31
13,304.69078992027454,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-31
14,324.97313166140594,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-31
15,340.92251834901145,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-31
16,362.3657088134247,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-31
17,391.7811799947481,0.0,0.0,3.8,95.0,0.0,reposo,2026-05-31
18,437.95543110391895,0.0,1.0,2.8,70.0,434.96,descarga,2026-05-31
19,456.8854518006923,0.0,1.0,1.8,45.0,453.89,descarga,2026-05-31
20,427.40227349319844,0.0,1.0,0.8,20.0,424.4,descarga,2026-05-31
21,419.0288989270549,0.0,0.4,0.4,10.0,166.41,descarga,2026-05-31
22,397.0522409691986,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
23,378.59386218273164,0.0,0.0,0.4,10.0,0.0,reposo,2026-05-31
0,318.0391047172674,0.0,0.0,0.4,10.0,0.0,reposo,2026-06-01
1,315.9719533220767,0.7778,0.0,1.1,27.5,-248.09,carga,2026-06-01
2,311.1113093551087,1.0,0.0,2.0,50.0,-314.11,carga,2026-06-01
3,309.27818516106925,1.0,0.0,2.9,72.5,-312.28,carga,2026-06-01
4,316.9403303487694,0.0,0.0,2.9,72.5,0.0,reposo,2026-06-01
5,342.9597558675826,0.0,0.0,2.9,72.5,0.0,reposo,2026-06-01
6,340.43599548844435,0.0,0.0,2.9,72.5,0.0,reposo,2026-06-01
7,334.77422845786515,0.0,0.0,2.9,72.5,0.0,reposo,2026-06-01
8,318.5571433424922,0.0,0.0,2.9,72.5,0.0,reposo,2026-06-01
9,308.95350708851277,1.0,0.0,3.8,95.0,-311.95,carga,2026-06-01
10,318.47366698776904,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
11,332.87525799861413,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
12,333.72301926330437,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
13,348.0031915075228,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
14,368.96545875195625,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
15,381.4650129225479,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
16,405.3535637398007,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
17,421.3615086088312,0.0,0.0,3.8,95.0,0.0,reposo,2026-06-01
18,536.2362590272952,0.0,1.0,2.8,70.0,533.24,descarga,2026-06-01
19,624.9719082682551,0.0,1.0,1.8,45.0,621.97,descarga,2026-06-01
20,489.15544871881036,0.0,1.0,0.8,20.0,486.16,descarga,2026-06-01
21,434.9110568078253,0.0,0.4,0.4,10.0,172.76,descarga,2026-06-01
22,399.0839816965841,0.0,0.0,0.4,10.0,0.0,reposo,2026-06-01
23,370.64855453274396,0.0,0.0,0.4,10.0,0.0,reposo,2026-06-01
0,325.50497823877527,0.0,0.0,0.4,10.0,0.0,reposo,2026-06-02
1,323.3893010785532,0.7778,0.0,1.1,27.5,-253.86,carga,2026-06-02
2,318.41455493813476,1.0,0.0,2.0,50.0,-321.41,carga,2026-06-02
3,316.53839869810184,1.0,0.0,2.9,72.5,-319.54,carga,2026-06-02
4,324.38041046832706,0.0,0.0,2.9,72.5,0.0,reposo,2026-06-02
5,351.0106342730883,0.0,0.0,2.9,72.5,0.0,reposo,2026-06-02
